date,fund_house,aum_crore,num_schemes
2022-03-31,SBI Mutual Fund,605000,186
2022-03-31,ICICI Prudential MF,465000,216
2022-03-31,HDFC Mutual Fund,435000,195
2022-03-31,Nippon India MF,270000,177
2022-03-31,Kotak Mahindra MF,270000,168
2022-03-31,Aditya Birla Sun Life MF,278000,199
2022-03-31,Axis Mutual Fund,250000,95
2022-03-31,UTI Mutual Fund,230000,142
2022-03-31,Mirae Asset MF,105000,56
2022-03-31,DSP Mutual Fund,110000,88
2022-09-30,SBI Mutual Fund,630000,186
2022-09-30,ICICI Prudential MF,488000,216
2022-09-30,HDFC Mutual Fund,445000,195
2022-09-30,Nippon India MF,278000,177
2022-09-30,Kotak Mahindra MF,272000,168
2022-09-30,Aditya Birla Sun Life MF,285000,199
2022-09-30,Axis Mutual Fund,240000,95
2022-09-30,UTI Mutual Fund,232000,142
2022-09-30,Mirae Asset MF,108000,56
2022-09-30,DSP Mutual Fund,112000,88
2023-03-31,SBI Mutual Fund,717000,186
2023-03-31,ICICI Prudential MF,500000,216
2023-03-31,HDFC Mutual Fund,450000,195
2023-03-31,Nippon India MF,293000,177
2023-03-31,Kotak Mahindra MF,289000,168
2023-03-31,Aditya Birla Sun Life MF,275000,199
2023-03-31,Axis Mutual Fund,241000,95
2023-03-31,UTI Mutual Fund,239000,142
2023-03-31,Mirae Asset MF,116000,56
2023-03-31,DSP Mutual Fund,115000,88
2023-09-30,SBI Mutual Fund,845000,186
2023-09-30,ICICI Prudential MF,590000,216
2023-09-30,HDFC Mutual Fund,535000,195
2023-09-30,Nippon India MF,340000,177
2023-09-30,Kotak Mahindra MF,325000,168
2023-09-30,Aditya Birla Sun Life MF,308000,199
2023-09-30,Axis Mutual Fund,260000,95
2023-09-30,UTI Mutual Fund,265000,142
2023-09-30,Mirae Asset MF,142000,56
2023-09-30,DSP Mutual Fund,132000,88
2024-03-31,SBI Mutual Fund,1000000,186
2024-03-31,ICICI Prudential MF,680000,216
2024-03-31,HDFC Mutual Fund,645000,195
2024-03-31,Nippon India MF,430000,177
2024-03-31,Kotak Mahindra MF,380000,168
2024-03-31,Aditya Birla Sun Life MF,340000,199
2024-03-31,Axis Mutual Fund,280000,95
2024-03-31,UTI Mutual Fund,290000,142
2024-03-31,Mirae Asset MF,175000,56
2024-03-31,DSP Mutual Fund,155000,88
2024-09-30,SBI Mutual Fund,1080000,186
2024-09-30,ICICI Prudential MF,742000,216
2024-09-30,HDFC Mutual Fund,710000,195
2024-09-30,Nippon India MF,468000,177
2024-09-30,Kotak Mahindra MF,405000,168
2024-09-30,Aditya Birla Sun Life MF,362000,199
2024-09-30,Axis Mutual Fund,290000,95
2024-09-30,UTI Mutual Fund,308000,142
2024-09-30,Mirae Asset MF,190000,56
2024-09-30,DSP Mutual Fund,172000,88
2024-12-31,SBI Mutual Fund,1114000,186
2024-12-31,ICICI Prudential MF,874000,216
2024-12-31,HDFC Mutual Fund,787000,195
2024-12-31,Nippon India MF,570000,177
2024-12-31,Kotak Mahindra MF,489000,168
2024-12-31,Aditya Birla Sun Life MF,384000,199
2024-12-31,Axis Mutual Fund,300000,95
2024-12-31,UTI Mutual Fund,352000,142
2024-12-31,Mirae Asset MF,210000,56
2024-12-31,DSP Mutual Fund,188000,88
2025-03-31,SBI Mutual Fund,1250000,186
2025-03-31,ICICI Prudential MF,880000,216
2025-03-31,HDFC Mutual Fund,795000,195
2025-03-31,Nippon India MF,560000,177
2025-03-31,Kotak Mahindra MF,492000,168
2025-03-31,Aditya Birla Sun Life MF,385000,199
2025-03-31,Axis Mutual Fund,310000,95
2025-03-31,UTI Mutual Fund,355000,142
2025-03-31,Mirae Asset MF,225000,56
2025-03-31,DSP Mutual Fund,195000,88
2025-12-31,SBI Mutual Fund,1250000,186
2025-12-31,ICICI Prudential MF,1074000,216
2025-12-31,HDFC Mutual Fund,930000,195
2025-12-31,Nippon India MF,700000,177
2025-12-31,Kotak Mahindra MF,580000,168
2025-12-31,Aditya Birla Sun Life MF,460000,199
2025-12-31,Axis Mutual Fund,350000,95
2025-12-31,UTI Mutual Fund,410000,142
2025-12-31,Mirae Asset MF,290000,56
2025-12-31,DSP Mutual Fund,230000,88
